model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,31,1.096774193548387,1.0,0.9865362756465286,1.2070121114502455,1.096774193548387,1.0,0.9865362756465286,1.2070121114502455,0.0,0.0,100.0
gemini-2.5-pro,38,1.3421052631578947,1.0,1.1359669098058738,1.5482436165099156,1.3421052631578947,1.0,1.1359669098058738,1.5482436165099156,0.0,0.0,100.0
gpt-4.1-2025-04-14,32,1.09375,1.0,0.9869784926299983,1.2005215073700017,1.09375,1.0,0.9869784926299983,1.2005215073700017,0.0,0.0,100.0
gpt-4o-2024-11-20,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0
gpt-5-2025-08-07,46,1.1304347826086956,1.0,1.0115060711606334,1.2493634940567577,1.1304347826086956,1.0,1.0115060711606334,1.2493634940567577,0.0,0.0,100.0
