model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,155,6.877419354838709,7.0,6.819285569339243,6.935553140338175,6.419354838709677,7.0,6.281794394526087,6.556915282893267,99.35483870967742,99.35483870967742,1.935483870967742
claude-sonnet-4-20250514,155,6.7935483870967746,7.0,6.700117044180605,6.8869797300129445,6.316129032258065,7.0,6.154640488743024,6.477617575773105,97.41935483870968,94.83870967741936,4.516129032258064
gemini-2.5-pro,155,6.95483870967742,7.0,6.899569706867606,7.010107712487233,6.767741935483871,7.0,6.687239697572182,6.8482441733955595,99.35483870967742,100.0,0.6451612903225806
gpt-4.1-2025-04-14,155,6.638709677419355,7.0,6.489723321879415,6.787696032959294,6.187096774193549,6.0,5.997627475592956,6.376566072794142,96.12903225806451,94.83870967741936,8.38709677419355
gpt-5-2025-08-07,155,6.767741935483871,7.0,6.659518310493805,6.8759655604739365,6.509677419354839,7.0,6.394787896585834,6.624566942123844,98.70967741935483,90.32258064516128,4.516129032258064
