model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,31,6.064516129032258,6.0,5.652394500402728,6.476637757661788,6.032258064516129,6.0,5.647739947547286,6.416776181484972,54.83870967741935,100.0,29.03225806451613
claude-sonnet-4-20250514,38,5.947368421052632,6.0,5.597610331079251,6.297126511026013,5.921052631578948,6.0,5.5515309285451035,6.290574334612792,42.10526315789473,94.73684210526315,26.31578947368421
gemini-2.5-pro,32,6.375,6.0,6.155406410880407,6.594593589119593,6.375,6.0,6.155406410880407,6.594593589119593,71.875,100.0,9.375
gpt-4.1-2025-04-14,46,5.304347826086956,6.0,4.8992491621321905,5.709446490041722,5.260869565217392,6.0,4.843545801798892,5.678193328635891,32.608695652173914,95.65217391304348,41.30434782608695
gpt-5-2025-08-07,46,5.608695652173913,6.0,5.286547003747648,5.930844300600178,5.826086956521739,6.0,5.581169918215917,6.071003994827562,26.08695652173913,89.13043478260869,36.95652173913043
