model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,33,6.333333333333333,7.0,6.057721266622768,6.608945400043898,6.242424242424242,6.0,5.845686410271322,6.639162074577162,30.303030303030305,93.93939393939394,18.181818181818183
gemini-2.5-pro,42,6.5,7.0,6.290674586023013,6.709325413976987,6.357142857142857,7.0,6.04308739287988,6.671198321405834,21.428571428571427,97.61904761904762,19.047619047619047
gpt-4.1-2025-04-14,51,3.7450980392156863,4.0,3.2852038335974076,4.2049922448339645,3.0588235294117645,3.0,2.554406985939303,3.563240072884226,80.3921568627451,96.07843137254902,92.15686274509804
gpt-5-2025-08-07,28,4.785714285714286,4.5,4.297998108469361,5.27343046295921,4.357142857142857,5.0,3.7047511108278446,5.009534603457869,82.14285714285714,82.14285714285714,53.57142857142857
