model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,31,6.967741935483871,7.0,6.901862178828992,7.03362169213875,6.580645161290323,7.0,6.373708606462184,6.787581716118462,100.0,96.7741935483871,3.225806451612903
claude-sonnet-4-20250514,38,6.868421052631579,7.0,6.732337775858497,7.004504329404661,6.2894736842105265,6.0,6.037082894696941,6.541864473724112,100.0,97.36842105263158,0.0
gemini-2.5-pro,32,6.96875,7.0,6.9050152048001125,7.0324847951998875,6.8125,7.0,6.66952567762788,6.95547432237212,100.0,100.0,0.0
gpt-4.1-2025-04-14,46,6.456521739130435,7.0,6.139102501551721,6.773940976709148,5.869565217391305,6.0,5.433080975708758,6.306049459073852,91.30434782608695,93.47826086956522,17.391304347826086
gpt-5-2025-08-07,46,6.695652173913044,7.0,6.431004197105474,6.960300150720614,6.478260869565218,7.0,6.200113092325103,6.756408646805332,100.0,89.13043478260869,4.3478260869565215
