model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,31,5.129032258064516,6.0,4.372896412345142,5.88516810378389,5.096774193548387,6.0,4.348910786356969,5.844637600739805,67.74193548387096,54.83870967741935,45.16129032258064
claude-sonnet-4-20250514,38,4.447368421052632,5.0,3.887379371868067,5.007357470237197,4.421052631578948,5.0,3.8772844785642078,4.964820784593687,55.26315789473685,55.26315789473685,60.526315789473685
gemini-2.5-pro,32,4.5,5.0,3.75602609568439,5.2439739043156095,4.46875,5.0,3.730522519287894,5.206977480712106,56.25,50.0,53.125
gpt-4.1-2025-04-14,46,3.1739130434782608,3.0,2.738797400771417,3.6090286861851046,3.152173913043478,3.0,2.7185785437840417,3.5857692823029144,15.217391304347828,15.217391304347828,89.13043478260869
gpt-5-2025-08-07,46,4.195652173913044,5.0,3.6548506055617325,4.736453742264355,4.1521739130434785,4.5,3.6029303588704185,4.7014174672165385,45.65217391304348,41.30434782608695,67.3913043478261
