model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,155,5.916129032258064,7.0,5.681085386899376,6.151172677616753,5.548387096774194,6.0,5.261792870083605,5.834981323464783,45.16129032258064,90.96774193548387,50.32258064516129
claude-sonnet-4-20250514,155,5.587096774193548,6.0,5.343290586311447,5.830902962075649,5.122580645161291,5.0,4.834767113112799,5.410394177209782,30.967741935483872,87.74193548387098,63.87096774193548
gemini-2.5-pro,155,6.27741935483871,7.0,6.095209392458658,6.459629317218761,6.116129032258065,7.0,5.906062228617055,6.326195835899074,57.41935483870968,84.51612903225806,36.12903225806451
gpt-4.1-2025-04-14,155,3.2516129032258063,3.0,2.982433545208598,3.5207922612430145,2.7225806451612904,2.0,2.465872908137176,2.9792883821854046,3.225806451612903,60.0,87.74193548387098
gpt-5-2025-08-07,155,5.664516129032258,6.0,5.458121795092379,5.8709104629721365,5.148387096774194,6.0,4.8736767423398435,5.423097451208544,30.32258064516129,78.70967741935485,63.2258064516129
