model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,34,6.4411764705882355,7.0,6.129200392487782,6.753152548688689,6.205882352941177,7.0,5.761373878025401,6.650390827856953,85.29411764705883,100.0,35.294117647058826
gemini-2.5-pro,42,6.714285714285714,7.0,6.528510761139437,6.900060667431992,6.666666666666667,7.0,6.464049079643074,6.86928425369026,97.61904761904762,100.0,23.809523809523807
gpt-4.1-2025-04-14,51,3.3137254901960786,3.0,2.7251297130337573,3.9023212673584,2.9215686274509802,2.0,2.409582971425296,3.4335542834766644,21.568627450980394,62.745098039215684,94.11764705882352
gpt-5-2025-08-07,28,5.0,5.5,4.340935547093658,5.659064452906342,4.75,5.0,4.1200979506620925,5.3799020493379075,21.428571428571427,78.57142857142857,89.28571428571429
