model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,34,5.882352941176471,6.0,5.454892316341021,6.309813566011921,6.176470588235294,6.5,5.838613571782739,6.51432760468785,64.70588235294117,97.05882352941177,47.05882352941176
gemini-2.5-pro,42,6.476190476190476,7.0,6.235417352749529,6.716963599631423,6.666666666666667,7.0,6.476096732891177,6.857236600442157,78.57142857142857,100.0,23.809523809523807
gpt-4.1-2025-04-14,51,6.568627450980392,7.0,6.348925337044236,6.788329564916548,6.7254901960784315,7.0,6.5656105989742075,6.885369793182655,86.27450980392157,100.0,25.49019607843137
gpt-5-2025-08-07,28,5.928571428571429,6.0,5.596035199916977,6.261107657225881,6.178571428571429,6.5,5.797277175327025,6.5598656818158325,60.71428571428571,92.85714285714286,50.0
