model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,34,6.823529411764706,7.0,6.688515129042126,6.958543694487285,6.823529411764706,7.0,6.663506903243288,6.983551920286123,82.35294117647058,97.05882352941177,91.17647058823529
gemini-2.5-pro,42,6.738095238095238,7.0,6.583282777140006,6.89290769905047,6.785714285714286,7.0,6.639134549023594,6.932294022404977,85.71428571428571,97.61904761904762,88.09523809523809
gpt-4.1-2025-04-14,51,6.862745098039215,7.0,6.764997791843719,6.960492404234712,6.882352941176471,7.0,6.761092649048583,7.003613233304359,86.27450980392157,100.0,82.35294117647058
gpt-5-2025-08-07,28,6.642857142857143,7.0,6.426207701873818,6.859506583840468,6.642857142857143,7.0,6.379775107439185,6.905939178275101,71.42857142857143,96.42857142857143,89.28571428571429
