model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,155,6.148387096774194,7.0,5.9760849486943055,6.320689244854082,6.341935483870968,7.0,6.191252567151401,6.492618400590534,72.25806451612902,95.48387096774194,36.12903225806451
gemini-2.5-pro,155,6.548387096774194,7.0,6.426824094401257,6.6699500991471306,6.670967741935484,7.0,6.568501415043375,6.7734340688275925,81.93548387096774,99.35483870967742,21.935483870967744
gpt-4.1-2025-04-14,155,6.458064516129032,7.0,6.3200676991256115,6.596061333132453,6.619354838709677,7.0,6.507488887679365,6.731220789739989,79.35483870967742,98.06451612903226,30.967741935483872
gpt-5-2025-08-07,155,6.0,6.0,5.841324980761694,6.158675019238306,6.283870967741936,7.0,6.139486733874769,6.428255201609103,62.58064516129033,94.83870967741936,49.03225806451613
