model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0
claude-sonnet-4-20250514,38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0
gemini-2.5-pro,32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0
gpt-4.1-2025-04-14,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0
gpt-5-2025-08-07,46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,100.0
