model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,31,6.32258064516129,7.0,5.884591728302374,6.760569562020206,6.193548387096774,7.0,5.637914702404018,6.74918207178953,90.32258064516128,96.7741935483871,29.03225806451613
claude-sonnet-4-20250514,38,6.184210526315789,7.0,5.803221720147915,6.5651993324836635,5.7368421052631575,7.0,5.136650331890281,6.337033878636034,89.47368421052632,92.10526315789474,44.73684210526316
gemini-2.5-pro,32,6.40625,7.0,6.077855658466971,6.734644341533029,6.25,7.0,5.810812821760814,6.689187178239186,90.625,96.875,37.5
gpt-4.1-2025-04-14,46,5.1521739130434785,5.0,4.651458563252511,5.652889262834446,4.413043478260869,4.5,3.854569586411138,4.9715173701106,67.3913043478261,80.43478260869566,78.26086956521739
gpt-5-2025-08-07,46,6.086956521739131,6.0,5.762698858000626,6.411214185477635,5.782608695652174,6.5,5.318682022649225,6.246535368655123,89.13043478260869,82.6086956521739,47.82608695652174
