model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,31,4.806451612903226,5.0,4.101404827940009,5.511498397866443,4.967741935483871,5.0,4.357746140675352,5.57773773029239,96.7741935483871,96.7741935483871,64.51612903225806
claude-sonnet-4-20250514,37,2.8378378378378377,2.0,2.301867766894998,3.3738079087806776,3.027027027027027,3.0,2.520847828629201,3.5332062254248533,86.48648648648648,91.8918918918919,89.1891891891892
gemini-2.5-pro,32,5.71875,7.0,5.123610507158713,6.313889492841287,5.59375,7.0,4.934273424771447,6.253226575228553,100.0,93.75,34.375
gpt-4.1-2025-04-14,46,2.6956521739130435,2.5,2.2277024114899104,3.1636019363361765,2.891304347826087,3.0,2.461062587275843,3.3215461083763307,69.56521739130434,86.95652173913044,89.13043478260869
gpt-5-2025-08-07,46,3.8043478260869565,3.0,3.316911385392062,4.291784266781851,3.9130434782608696,3.0,3.4494842719872647,4.3766026845344745,97.82608695652173,97.82608695652173,84.78260869565217
