model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,155,6.812903225806451,7.0,6.728499255061,6.897307196551902,6.625806451612903,7.0,6.5369462566988155,6.714666646526991,99.35483870967742,99.35483870967742,0.0
gemini-2.5-pro,155,6.587096774193548,7.0,6.483555220303701,6.690638328083396,6.916129032258064,7.0,6.872002662638838,6.960255401877291,100.0,100.0,0.0
gpt-4.1-2025-04-14,155,6.419354838709677,7.0,6.312573540362255,6.526136137057099,6.683870967741935,7.0,6.603499862411053,6.764242073072817,100.0,100.0,0.0
gpt-4o-2024-11-20,155,6.554838709677419,7.0,6.415775911573012,6.693901507781827,6.548387096774194,7.0,6.436634351322919,6.660139842225469,99.35483870967742,98.70967741935483,0.6451612903225806
gpt-5-2025-08-07,155,6.67741935483871,7.0,6.5768439814158715,6.7779947282615485,6.72258064516129,7.0,6.646858645516286,6.798302644806295,100.0,100.0,0.0
