model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,31,6.870967741935484,7.0,6.714142552921939,7.027792930949029,6.870967741935484,7.0,6.745969692299253,6.995965791571715,100.0,100.0,0.0
gemini-2.5-pro,38,6.7105263157894735,7.0,6.541228773755315,6.879823857823632,6.894736842105263,7.0,6.792509824427096,6.996963859783429,100.0,100.0,0.0
gpt-4.1-2025-04-14,32,6.46875,7.0,6.209984604640849,6.727515395359151,6.71875,7.0,6.554054808160306,6.883445191839694,100.0,100.0,0.0
gpt-4o-2024-11-20,46,6.586956521739131,7.0,6.3562823920097715,6.81763065146849,6.565217391304348,7.0,6.403746819692424,6.726687962916271,100.0,100.0,0.0
gpt-5-2025-08-07,46,6.608695652173913,7.0,6.396591275181424,6.820800029166402,6.760869565217392,7.0,6.632799380362644,6.888939750072139,100.0,100.0,0.0
