model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,31,5.612903225806452,6.0,5.142427658765817,6.083378792847087,5.354838709677419,5.0,4.790165538408089,5.919511880946749,80.64516129032258,77.41935483870968,51.61290322580645
claude-sonnet-4-20250514,38,4.526315789473684,5.0,4.0326161316471225,5.020015447300246,4.184210526315789,4.0,3.655560951285466,4.712860101346113,78.94736842105263,89.47368421052632,86.8421052631579
gemini-2.5-pro,32,5.9375,6.0,5.608109616320611,6.266890383679389,5.84375,6.0,5.332972947402347,6.354527052597653,81.25,84.375,37.5
gpt-4.1-2025-04-14,46,4.065217391304348,4.0,3.566719116282679,4.563715666326017,3.9782608695652173,4.0,3.4833650036776715,4.473156735452763,76.08695652173914,84.78260869565217,86.95652173913044
gpt-5-2025-08-07,46,5.478260869565218,6.0,5.193154541481846,5.76336719764859,5.521739130434782,6.0,5.19200947659675,5.851468784272814,71.73913043478261,82.6086956521739,56.52173913043478
