model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,154,4.915584415584416,5.0,4.613774365005197,5.2173944661636344,5.058441558441558,5.0,4.776914594945567,5.339968521937549,98.7012987012987,87.66233766233766,57.7922077922078
claude-sonnet-4-20250514,154,2.603896103896104,2.0,2.385919992926138,2.8218722148660698,2.844155844155844,3.0,2.639739891725129,3.0485717965865593,81.81818181818183,96.1038961038961,94.15584415584416
gemini-2.5-pro,155,5.838709677419355,7.0,5.594436692409202,6.082982662429508,5.877419354838709,7.0,5.633245705540917,6.121593004136502,99.35483870967742,97.41935483870968,34.193548387096776
gpt-4.1-2025-04-14,155,2.92258064516129,3.0,2.6589603019546875,3.186200988367893,3.07741935483871,3.0,2.8258582471542315,3.3289804625231882,71.61290322580646,92.90322580645162,89.03225806451613
gpt-5-2025-08-07,155,4.15483870967742,4.0,3.8914625502426574,4.418214869112182,4.264516129032258,4.0,4.01130838245897,4.5177238756055464,95.48387096774194,95.48387096774194,76.12903225806451
