model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,31,6.419354838709677,7.0,6.1232621586152485,6.715447518804106,6.612903225806452,7.0,6.350484492203884,6.87532195940902,90.32258064516128,96.7741935483871,19.35483870967742
gemini-2.5-pro,38,6.7105263157894735,7.0,6.559457626368423,6.861595005210524,6.868421052631579,7.0,6.755821099692488,6.981021005570669,92.10526315789474,100.0,2.631578947368421
gpt-4.1-2025-04-14,32,6.40625,7.0,6.019242962128962,6.793257037871038,6.5,7.0,6.033047818490822,6.966952181509178,96.875,96.875,18.75
gpt-4o-2024-11-20,46,6.065217391304348,7.0,5.66238613761477,6.468048644993925,6.043478260869565,7.0,5.538906470813348,6.548050050925783,76.08695652173914,93.47826086956522,26.08695652173913
gpt-5-2025-08-07,46,6.413043478260869,7.0,6.090300276301848,6.73578668021989,6.478260869565218,7.0,6.093662419339774,6.862859319790662,91.30434782608695,97.82608695652173,13.043478260869565
