model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,155,1.0838709677419356,1.0,1.0268177279559898,1.1409242075278814,1.070967741935484,1.0,1.016390108975314,1.1255453748956539,0.0,0.0,100.0
claude-sonnet-4-20250514,155,1.0129032258064516,1.0,0.9949375704819563,1.030868881130947,1.0193548387096774,1.0,0.9974235187230575,1.0412861586962974,0.0,0.0,100.0
gemini-2.5-pro,155,1.0774193548387097,1.0,1.0215807491824263,1.133257960494993,1.038709677419355,1.0,0.9987478548026745,1.0786715000360354,0.0,0.0,100.0
gpt-4.1-2025-04-14,155,1.0258064516129033,1.0,1.0005657850645684,1.0510471181612382,1.0193548387096774,1.0,0.9974235187230575,1.0412861586962974,0.0,0.0,100.0
gpt-5-2025-08-07,155,1.038709677419355,1.0,1.0080017072862284,1.0694176475524815,1.038709677419355,1.0,1.0080017072862284,1.0694176475524815,0.0,0.0,100.0
