model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,31,3.838709677419355,5.0,3.02346709806549,4.65395225677322,3.096774193548387,2.0,2.3080492298951096,3.8854991572016644,32.25806451612903,25.806451612903224,74.19354838709677
claude-sonnet-4-20250514,38,2.1052631578947367,1.0,1.555312429270738,2.6552138865187356,1.763157894736842,1.0,1.2537545793190992,2.272561210154585,2.631578947368421,5.263157894736842,94.73684210526315
gemini-2.5-pro,32,3.9375,5.0,3.1607819367183856,4.714218063281614,3.21875,2.0,2.4706484864255893,3.9668515135744107,31.25,25.0,68.75
gpt-4.1-2025-04-14,46,1.2173913043478262,1.0,0.9924206394117211,1.4423619692839313,1.108695652173913,1.0,1.0152423606808798,1.2021489436669464,0.0,0.0,95.65217391304348
gpt-5-2025-08-07,46,1.173913043478261,1.0,0.9729473896847252,1.3748786972717968,1.0869565217391304,1.0,1.002356141988263,1.1715569014899978,0.0,0.0,97.82608695652173
