model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,155,5.948387096774193,6.0,5.755491631922971,6.141282561625416,5.787096774193548,6.0,5.552727238687615,6.021466309699481,41.29032258064516,92.90322580645162,29.677419354838708
gemini-2.5-pro,155,6.496774193548387,7.0,6.359805442982672,6.633742944114103,6.412903225806452,7.0,6.242515571259165,6.583290880353738,17.419354838709676,94.19354838709677,15.483870967741936
gpt-4.1-2025-04-14,155,3.7548387096774194,4.0,3.5040545001050862,4.005622919249753,3.0838709677419356,3.0,2.79684278016234,3.3708991553215313,80.64516129032258,94.83870967741936,82.58064516129032
gpt-5-2025-08-07,155,4.787096774193548,5.0,4.559091897258664,5.0151016511284325,4.567741935483871,5.0,4.300130637349928,4.8353532336178136,70.96774193548387,92.90322580645162,58.70967741935483
