model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,155,6.425806451612903,7.0,6.271362450542513,6.580250452683293,6.2064516129032254,7.0,5.977938425078985,6.434964800727466,92.25806451612904,96.7741935483871,30.967741935483872
claude-sonnet-4-20250514,155,6.2,6.0,6.042982206547931,6.357017793452069,5.767741935483871,7.0,5.496008062852496,6.039475808115245,87.09677419354838,96.12903225806451,46.45161290322581
gemini-2.5-pro,155,6.632258064516129,7.0,6.5222365497643295,6.742279579267928,6.606451612903226,7.0,6.46010820895269,6.752795016853762,96.12903225806451,95.48387096774194,20.64516129032258
gpt-4.1-2025-04-14,155,5.283870967741936,6.0,5.019495487079182,5.548246448404689,4.72258064516129,5.0,4.40341439805597,5.041746892266611,74.83870967741936,79.35483870967742,66.45161290322581
gpt-5-2025-08-07,155,6.161290322580645,6.0,6.0149613345690645,6.307619310592226,6.012903225806451,7.0,5.806738994506703,6.2190674571062,85.16129032258064,84.51612903225806,44.516129032258064
