model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,31,5.838709677419355,6.0,5.647015810922612,6.030403543916098,6.612903225806452,7.0,6.408074738391351,6.817731713221553,96.7741935483871,96.7741935483871,100.0
claude-sonnet-4-20250514,38,5.842105263157895,6.0,5.720641466702051,5.9635690596137385,6.368421052631579,7.0,6.068325165945141,6.668516939318017,86.8421052631579,86.8421052631579,97.36842105263158
gemini-2.5-pro,32,5.96875,6.0,5.9050152048001125,6.0324847951998875,6.375,6.0,6.155406410880407,6.594593589119593,93.75,93.75,100.0
gpt-4.1-2025-04-14,46,5.8478260869565215,6.0,5.739981340154763,5.95567083375828,6.521739130434782,7.0,6.25805879115162,6.785419469717945,89.13043478260869,89.13043478260869,100.0
gpt-5-2025-08-07,46,5.804347826086956,6.0,5.655937901920306,5.952757750253606,6.543478260869565,7.0,6.311698657732763,6.775257864006368,89.13043478260869,89.13043478260869,100.0
