model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-3-5-sonnet-20241022,31,4.838709677419355,5.0,4.327840588650733,5.349578766187977,4.354838709677419,5.0,3.798164511555133,4.911512907799706,19.35483870967742,67.74193548387096,83.87096774193549
claude-sonnet-4-20250514,38,4.421052631578948,4.5,3.9399655217292775,4.902139741428618,3.6052631578947367,3.0,3.0409001956475183,4.169626120141955,23.684210526315788,60.526315789473685,81.57894736842105
gemini-2.5-pro,32,5.15625,6.0,4.645472947402347,5.667027052597653,4.53125,5.0,3.8903142145394205,5.17218578546058,28.125,65.625,78.125
gpt-4.1-2025-04-14,46,4.282608695652174,5.0,3.8689248257515425,4.696292565552805,3.260869565217391,3.0,2.8206920042699792,3.701047126164803,17.391304347826086,43.47826086956522,93.47826086956522
gpt-5-2025-08-07,46,4.804347826086956,5.0,4.481340729397043,5.1273549227768696,3.6956521739130435,3.0,3.2905535099582783,4.100750837867809,10.869565217391305,45.65217391304348,89.13043478260869
