model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,34,5.647058823529412,6.0,5.125397259960632,6.168720387098192,4.4411764705882355,5.0,3.731854159153833,5.150498782022638,73.52941176470588,91.17647058823529,73.52941176470588
gemini-2.5-pro,42,6.5,7.0,6.214145099336765,6.785854900663235,6.023809523809524,6.5,5.625522354981587,6.42209669263746,85.71428571428571,92.85714285714286,35.714285714285715
gpt-4.1-2025-04-14,51,5.137254901960785,5.0,4.627820382648964,5.6466894212726055,4.0,4.0,3.394159196482133,4.605840803517867,62.745098039215684,76.47058823529412,80.3921568627451
gpt-5-2025-08-07,28,6.0,6.0,5.50499803243426,6.49500196756574,5.285714285714286,5.0,4.6900535188149854,5.881375052613586,75.0,89.28571428571429,60.71428571428571
