model,n_samples,readability_mean,readability_median,readability_ci_low,readability_ci_high,adequacy_mean,adequacy_median,adequacy_ci_low,adequacy_ci_high,grammatically_correct_pct,real_words_pct,notable_error_pct
claude-sonnet-4-20250514,155,5.716129032258064,6.0,5.549655402876459,5.88260266163967,5.451612903225806,5.0,5.2413603973723095,5.661865409079303,59.354838709677416,91.61290322580645,47.74193548387097
gemini-2.5-pro,155,6.264516129032258,6.0,6.136553201538512,6.392479056526004,6.258064516129032,6.0,6.124156427576023,6.391972604682041,83.22580645161291,97.41935483870968,23.225806451612904
gpt-4.1-2025-04-14,155,5.090322580645161,5.0,4.880713203974789,5.299931957315533,4.929032258064516,5.0,4.7134688585969515,5.14459565753208,41.935483870967744,82.58064516129032,63.87096774193548
gpt-5-2025-08-07,155,5.838709677419355,6.0,5.6858238499403395,5.9915955048983705,5.754838709677419,6.0,5.604260830206056,5.905416589148783,60.0,93.54838709677419,47.096774193548384
